
time;gfx;gFy;gFz;Bx;By;Bz;
1,2660;0,0020;-0,1016;0,9909;14,2500;1,2500;42,0000;
1,2820;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,2900;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,3040;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,3130;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,3250;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,3380;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,3520;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,3630;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,3770;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,3890;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,4010;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,4120;0,0020;-0,1016;0,9909;13,7500;1,5000;41,7500;
1,4200;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,4200;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,4260;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,4430;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,4550;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,4650;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,4790;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,4930;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,5040;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,5130;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,5250;0,0039;-0,0919;0,9870;13,7500;1,5000;41,7500;
1,5340;0,0039;-0,0919;0,9870;13,2500;2,7500;41,5000;
1,5390;0,0039;-0,0919;0,9870;13,2500;2,7500;41,5000;
1,5500;0,0039;-0,0919;0,9870;13,2500;2,7500;41,5000;
1,5630;0,0039;-0,0919;0,9870;13,2500;2,7500;41,5000;
1,5750;0,0039;-0,0919;0,9870;13,2500;2,7500;41,5000;
1,5860;0,0039;-0,0919;0,9870;13,2500;2,7500;41,5000;
1,5910;0,0039;-0,0919;0,9870;13,2500;2,7500;41,5000;
1,6030;0,0039;-0,0919;0,9870;13,2500;2,7500;41,5000;
1,6150;0,0039;-0,0919;0,9870;13,2500;2,7500;41,5000;
1,6180;0,0020;-0,1153;0,9870;13,2500;2,7500;41,5000;
1,6190;0,0020;-0,1153;0,9870;13,2500;2,7500;41,5000;
1,6270;0,0020;-0,1153;0,9870;13,2500;2,7500;41,5000;
1,6450;0,0020;-0,1153;0,9870;13,2500;2,7500;41,5000;
1,6500;0,0020;-0,1153;0,9870;13,2500;2,7500;41,5000;
1,6620;0,0020;-0,1153;0,9870;13,2500;2,7500;41,5000;
1,6730;0,0020;-0,1153;0,9870;13,2500;2,7500;41,5000;
1,6870;0,0020;-0,1153;0,9870;13,2500;2,7500;41,5000;
1,7040;0,0020;-0,1153;0,9870;13,2500;2,7500;41,5000;
1,7180;0,0020;-0,1153;0,9870;13,2500;2,7500;41,5000;
1,7360;0,0020;-0,1153;0,9870;14,0000;1,7500;42,5000;
1,7450;0,0020;-0,1153;0,9870;14,0000;1,7500;42,5000;
1,7520;0,0020;-0,1153;0,9870;14,0000;1,7500;42,5000;
1,7780;0,0020;-0,1153;0,9870;14,0000;1,7500;42,5000;
1,7930;0,0020;-0,1153;0,9870;14,0000;1,7500;42,5000;
1,8080;0,0020;-0,1153;0,9870;14,0000;1,7500;42,5000;
1,8240;0,0078;-0,1134;0,9850;14,0000;1,7500;42,5000;
1,8250;0,0078;-0,1134;0,9850;14,0000;1,7500;42,5000;
1,8470;0,0078;-0,1134;0,9850;14,0000;1,7500;42,5000;
1,8610;0,0078;-0,1134;0,9850;14,0000;1,7500;42,5000;
1,8870;0,0078;-0,1134;0,9850;14,0000;1,7500;42,5000;
1,9010;0,0078;-0,1134;0,9850;14,0000;1,7500;42,5000;
1,9090;0,0078;-0,1134;0,9850;14,0000;1,7500;42,5000;
1,9200;0,0078;-0,1134;0,9850;14,0000;1,7500;42,5000;
1,9290;0,0078;-0,1134;0,9850;14,0000;1,7500;42,5000;
1,9320;0,0078;-0,1134;0,9850;14,2500;2,0000;41,5000;
1,9410;0,0078;-0,1134;0,9850;14,2500;2,0000;41,5000;
1,9490;0,0078;-0,1134;0,9850;14,2500;2,0000;41,5000;
1,9610;0,0078;-0,1134;0,9850;14,2500;2,0000;41,5000;
1,9690;0,0078;-0,1134;0,9850;14,2500;2,0000;41,5000;
1,9830;0,0078;-0,1134;0,9850;14,2500;2,0000;41,5000;
1,9890;0,0078;-0,1134;0,9850;14,2500;2,0000;41,5000;
2,0010;0,0078;-0,1134;0,9850;14,2500;2,0000;41,5000;
2,0090;0,0078;-0,1134;0,9850;14,2500;2,0000;41,5000;
2,0200;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,0520;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,0520;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
2,0530;0,0020;-0,1036;0,9948;14,2500;2,0000;41,5000;
