time;x;y;z;MF
25,201;-374,25;22,50;-97,25;387,33
25,229;-158,00;-180,00;-252,25;347,84
25,287;-70,25;-145,75;-183,75;244,83
25,328;-46,00;-85,00;-123,50;156,82
25,391;-40,25;-45,50;-91,50;109,83
25,430;-40,00;-24,50;-77,50;90,59
25,529;-42,50;-9,50;-68,25;80,96
25,590;-42,75;-7,50;-67,25;80,04
25,630;-43,25;-6,50;-67,00;80,01
25,690;-43,25;-6,25;-66,75;79,78
25,730;-43,25;-5,75;-66,50;79,54
25,799;-42,75;-5,00;-66,50;79,21
25,832;-43,25;-4,75;-66,50;79,47
25,890;-43,25;-4,50;-66,00;79,04
25,931;-43,25;-4,50;-66,75;79,66
25,999;-43,25;-4,25;-67,25;80,07
26,034;-43,75;-4,50;-67,25;80,35
26,133;-42,75;-4,50;-67,50;80,03
26,199;-42,50;-5,00;-67,00;79,50
26,233;-41,00;-6,00;-67,00;78,78
26,301;-36,25;-9,25;-67,50;77,17
26,332;-23,00;-18,50;-71,00;76,89
26,383;36,25;-52,50;-112,25;129,11
26,434;161,50;186,75;-502,25;559,65
26,533;-15,50;0,00;-89,75;91,08
26,582;-30,25;-16,50;-64,75;73,35
26,634;-36,75;-16,00;-61,00;72,99
26,684;-39,25;-12,75;-63,25;75,52
26,733;-41,00;-9,75;-64,50;77,05
26,783;-42,50;-8,00;-65,50;78,49
26,835;-42,50;-6,75;-65,75;78,58
26,884;-43,25;-6,50;-66,25;79,38
26,934;-43,50;-5,75;-66,50;79,67
26,983;-44,00;-5,75;-66,50;79,95
27,035;-44,00;-4,75;-66,25;79,67
27,134;-44,00;-4,50;-66,00;79,45
27,184;-44,00;-4,75;-66,25;79,67
27,235;-43,50;-5,25;-66,25;79,43
27,284;-43,50;-6,00;-65,50;78,86
27,334;-43,75;-6,50;-65,75;79,24
27,385;-43,00;-6,50;-65,25;78,41
27,436;-42,00;-7,75;-64,50;77,36
27,485;-40,50;-10,00;-62,50;75,14
27,538;-37,25;-14,75;-57,75;70,29
27,585;-26,25;-29,25;-36,25;53,47
27,637;-8,75;-56,75;130,75;142,80
27,736;80,50;137,25;-414,75;444,22
27,787;47,50;38,50;-241,75;249,36
27,838;8,00;4,00;-144,50;144,78
27,888;-16,50;-5,25;-100,00;101,49
27,938;-29,50;-6,75;-80,00;85,53
27,987;-36,00;-6,25;-72,25;80,96
28,038;-40,00;-6,50;-69,00;80,02
28,088;-40,00;-6,50;-69,00;80,02
28,139;-42,00;-6,25;-67,25;79,53
28,188;-42,00;-6,00;-67,00;79,30
28,238;-43,00;-5,50;-67,25;80,01
28,338;-42,50;-5,75;-67,25;79,76
28,388;-42,25;-5,75;-67,00;79,42
28,438;-43,25;-6,75;-67,00;80,03
28,488;-43,00;-6,75;-67,00;79,90
28,540;-43,00;-6,50;-67,00;79,88
28,589;-42,75;-6,25;-67,00;79,72
28,642;-42,75;-6,75;-67,25;79,97
28,740;-39,25;-12,25;-67,00;78,61
28,789;-33,75;-20,25;-69,25;79,65
28,842;-10,00;-48,00;-84,25;97,48
28,940;-227,25;160,75;-181,25;332,17
28,990;-183,25;60,25;-60,25;202,09
29,042;-108,75;4,50;-42,00;116,67
29,141;-69,75;-7,50;-50,25;86,29
29,189;-53,00;-8,25;-58,25;79,18
29,240;-46,25;-8,00;-62,50;78,16
29,290;-43,25;-6,75;-65,00;78,37
29,340;-43,00;-6,75;-65,75;78,85
29,389;-43,25;-6,50;-66,50;79,59
29,441;-43,25;-6,00;-66,25;79,34
29,543;-43,75;-5,75;-65,75;79,18
29,591;-43,00;-5,50;-66,00;78,96
29,643;-42,25;-5,50;-66,50;78,98
29,745;-42,75;-5,75;-66,25;79,05
29,794;-42,75;-5,75;-66,25;79,05
29,846;-42,50;-7,00;-65,50;78,39
29,895;-41,25;-8,25;-65,50;77,85
29,945;-39,50;-10,00;-64,00;75,87
29,994;-37,25;-14,00;-59,50;71,58
30,046;-33,50;-26,25;-46,25;62,85
30,145;-381,25;212,50;-68,00;441,74
30,195;-106,25;-31,25;-267,75;289,75
30,245;-25,00;-82,25;-202,50;219,99
30,295;-19,50;-63,25;-134,25;149,68
30,347;-28,00;-40,00;-97,25;108,82
30,394;-34,75;-24,25;-80,25;90,75
30,448;-39,50;-15,75;-72,50;84,05
30,494;-41,75;-11,00;-69,25;81,61
30,546;-42,25;-8,25;-67,75;80,27
30,595;-42,50;-6,25;-67,75;80,22
30,646;-43,75;-5,75;-67,75;80,85
30,695;-43,75;-6,00;-67,50;80,66
30,752;-43,25;-6,00;-67,00;79,97
30,850;-43,25;-5,75;-67,25;80,16
30,898;-43,50;-5,75;-67,50;80,51
30,949;-43,50;-6,25;-67,00;80,13
30,998;-43,00;-6,25;-66,75;79,65
31,049;-42,75;-7,00;-67,50;80,20
31,098;-42,75;-7,00;-67,50;80,20
31,148;-41,25;-8,25;-67,75;79,75
31,199;-38,25;-10,00;-67,75;78,44
31,252;-30,75;-15,25;-68,75;76,84
31,352;86,75;-56,50;-154,25;185,77
31,400;72,75;386,50;-244,00;462,83
31,451;26,50;195,75;-20,00;198,55
31,500;6,00;63,25;0,00;63,53
31,551;-12,25;12,00;-22,50;28,29
31,599;-24,50;-2,75;-43,00;49,57
31,662;-32,00;-7,00;-54,25;63,37
31,750;-39,75;-7,00;-63,25;75,03
31,799;-41,00;-6,25;-65,25;77,32
31,854;-41,75;-6,50;-65,25;77,74
31,949;-42,75;-6,00;-66,00;78,86
32,000;-42,25;-6,00;-66,25;78,80
32,052;-43,00;-6,00;-65,75;78,79
32,149;-43,00;-6,00;-66,25;79,21
32,200;-43,75;-5,75;-66,00;79,39
32,260;-43,50;-6,50;-65,50;78,90
32,350;-43,00;-8,25;-65,00;78,37
32,400;-43,25;-9,50;-63,50;77,41
32,456;-43,25;-13,25;-61,50;76,34
32,557;-54,50;-44,25;-24,50;74,35
32,602;-222,75;-45,00;81,50;241,42
32,653;-153,75;-148,25;-548,00;588,15
32,702;-46,50;-172,50;-408,00;445,40
32,752;-22,00;-118,75;-237,25;266,22
32,802;-25,00;-69,00;-142,75;160,51
32,854;-31,25;-38,75;-99,25;111,03
32,971;-37,75;-14,50;-72,25;82,80
33,001;-39,75;-10,50;-69,00;80,32
33,057;-41,25;-8,50;-67,25;79,35
33,103;-41,75;-6,75;-66,75;79,02
33,159;-42,25;-6,00;-66,25;78,80
33,203;-43,25;-6,00;-66,00;79,14
33,263;-42,50;-5,50;-66,00;78,69
33,309;-42,00;-5,00;-66,25;78,60
33,371;-42,00;-5,00;-66,25;78,60
33,411;-41,75;-4,75;-66,75;78,87
33,462;-42,25;-5,50;-67,00;79,40
33,561;-41,50;-6,50;-66,50;78,66
33,611;-40,00;-6,50;-66,50;77,87
